Kodas,Pavadinimas
4416,Darbuotojų informacijos tarnautojai
4419,Kitur nepriskirti tarnautojai
5,Paslaugų sektoriaus darbuotojai ir pardavėjai
51,Paslaugų asmenims darbuotojai
511,"Kelionių palydovai, konduktoriai ir kelionių vadovai"
5111,Kelionių palydovai
5112,Transporto priemonių konduktoriai
5113,Kelionių vadovai
512,Virėjai
5120,Virėjai
513,Padavėjai ir barmenai
5131,Padavėjai
5132,Barmenai
514,"Kirpėjai, kosmetikai ir giminiškų profesijų darbuotojai"
5141,Kirpėjai
5142,Kosmetikai ir giminiškų profesijų darbuotojai
515,Vyresnieji pastatų ir bendrosios priežiūros darbuotojai
5151,"Vyresnieji biurų, viešbučių ir kitų įstaigų valymo ir bendrosios priežiūros darbuotojai"
5152,Namų ūkio ekonomai
5153,Pastatų prižiūrėtojai
516,Kiti paslaugų asmenims darbuotojai
5161,"Astrologai, būrėjai ir giminiškų profesijų darbuotojai"
5162,Tarnai ir palydovai
5163,Laidojimo paslaugų darbuotojai
5164,Gyvūnų (augintinių) higienos ir priežiūros darbuotojai
5165,Vairavimo instruktoriai
5169,Kitur nepriskirti paslaugų asmenims darbuotojai
52,Pardavėjai
521,Gatvės prekystalių ir turgaviečių pardavėjai
5211,Kioskų ir turgaviečių pardavėjai
5212,Maisto produktų gatvės pardavėjai
522,Parduotuvių pardavėjai
5221,Krautuvininkai
5222,Vyresnieji parduotuvių darbuotojai
5223,Parduotuvių pardavėjai
523,Kasininkai ir bilietų pardavėjai
5230,Kasininkai ir bilietų pardavėjai
524,Kiti pardavėjai
5241,Madų ir panašūs demonstruotojai
5242,Prekių demonstruotojai
5243,Išnešiojamosios prekybos pardavėjai
5244,Nuotolinės prekybos pardavėjai
5245,Degalinių operatoriai
5246,Maitinimo paslaugų prekystalių pardavėjai
5249,Kitur nepriskirti pardavėjai
53,Asmens priežiūros darbuotojai
531,Vaikų priežiūros darbuotojai ir mokytojų padėjėjai
5311,Vaikų priežiūros darbuotojai
5312,Mokytojų padėjėjai
532,Asmens sveikatos priežiūros darbuotojai
5321,Asmens sveikatos priežiūros padėjėjai
5322,Asmens priežiūros namuose darbuotojai
5329,Kitur nepriskirti asmens sveikatos priežiūros darbuotojai
54,Apsaugos darbuotojai
541,Apsaugos darbuotojai
5411,Ugniagesiai
5412,Policijos pareigūnai
5413,Įkalinimo įstaigų sargybiniai
5414,Apsaugos darbuotojai
5419,Kitur nepriskirti apsaugos darbuotojai
6,"Kvalifikuoti žemės, miškų ir žuvininkystės ūkio darbuotojai"
61,Kvalifikuoti prekinio žemės ūkio darbuotojai
611,Kultūrinių augalų augintojai
6111,Kultūrinių lauko augalų ir daržovių augintojai
6112,Vaismedžių ir vaiskrūmių augintojai
6113,"Sodininkai, daržininkai, medelynų ir daigynų darbuotojai"
6114,Mišriųjų kultūrinių augalų augintojai
612,Gyvūnų augintojai
6121,Gyvulių augintojai
6122,Paukščių augintojai
6123,Bitininkai
6129,Kitur nepriskirti gyvūnų augintojai
613,Kultūrinių augalų ir gyvūnų augintojai
6130,Kultūrinių augalų ir gyvūnų augintojai
62,"Kvalifikuoti prekinio miškų, žuvininkystės ir medžioklės ūkio darbuotojai"
621,Miškų ūkio ir giminiškų profesijų darbuotojai
6210,Miškų ūkio ir giminiškų profesijų darbuotojai
622,Žvejai ir medžiotojai
6221,Akvakultūros ūkio darbuotojai
6222,Vidaus ir priekrantės vandenų žvejai
6223,Giliavandenės žvejybos žvejai
6224,Medžiotojai
63,"Natūraliojo ūkio kultūrinių augalų ir gyvulių augintojai, žvejai, miško gėrybių ir vaistažolių rinkėjai"
631,Natūraliojo ūkio kultūrinių augalų augintojai
6310,Natūraliojo ūkio kultūrinių augalų augintojai
632,Natūraliojo ūkio gyvulių augintojai
6320,Natūraliojo ūkio gyvulių augintojai
633,Mišriojo natūraliojo ūkio kultūrinių augalų ir gyvulių augintojai
6330,Mišriojo natūraliojo ūkio kultūrinių augalų ir gyvulių augintojai
634,"Natūraliojo ūkio žvejai, miško gėrybių ir vaistažolių rinkėjai"
6340,"Natūraliojo ūkio žvejai, miško gėrybių ir vaistažolių rinkėjai"
7,Kvalifikuoti darbininkai ir amatininkai
71,Statybininkai ir giminiškų profesijų darbininkai (išskyrus elektrikus)
711,Statybininkai montuotojai ir giminiškų profesijų darbininkai
7111,Statybininkai
7112,Plytų mūrininkai ir giminiškų profesijų darbininkai
7113,"Akmenų mūrininkai, akmenskaldžiai, akmentašiai ir raižytojai"
7114,"Betonuotojai, betono apdailininkai ir giminiškų profesijų darbininkai"
7115,Dailidės ir staliai
7119,Kitur nepriskirti statybininkai montuotojai ir giminiškų profesijų darbininkai
712,Statybininkai apdailininkai ir giminiškų profesijų darbininkai
7121,Stogdengiai
7122,Grindų ir plytelių klojėjai
7123,Tinkuotojai
7124,Darbininkai izoliuotojai
7125,Stikliai
7126,Vandentiekininkai ir vamzdynų montuotojai
7127,Oro kondicionavimo ir šaldymo įrenginių mechanikai
713,"Dažytojai, statybinių konstrukcijų valytojai ir giminiškų profesijų darbininkai"
7131,Dažytojai ir giminiškų profesijų darbininkai
7132,Dažytojai purškėjai ir lakuotojai
7133,Statybinių konstrukcijų valytojai
72,"Metalo apdirbimo, mašinų gamybos ir giminiškų profesijų darbininkai"
721,"Skardininkai, metalinių konstrukcijų montuotojai, metalo liejikai, suvirintojai ir giminiškų profesijų darbininkai"
7211,Metalo liejikai ir liejimo formų gamintojai
7212,Suvirintojai
7213,Skardininkai
7214,Metalinių konstrukcijų ruošėjai ir montuotojai
7215,Takelažininkai ir lynų sujungėjai
722,"Kalviai, įrankininkai ir giminiškų profesijų darbininkai"
7221,"Kalviai, štampuotojai ir kalimo presų operatoriai"
7222,Įrankininkai ir giminiškų profesijų darbininkai
7223,Metalo apdirbimo staklių derintojai ir operatoriai
7224,"Metalo poliruotojai, šlifuotojai ir įrankių galąstojai"
723,Mašinų mechanikai ir taisytojai
7231,Variklinių transporto priemonių mechanikai ir taisytojai
7232,Orlaivių variklių mechanikai ir taisytojai
7233,Pramonės ir žemės ūkio mašinų mechanikai ir taisytojai
7234,Dviračių ir panašių mechanizmų taisytojai
73,Amatininkai ir spausdinimo darbininkai
731,Amatininkai
7311,Tiksliųjų prietaisų ir įrankių gamintojai ir taisytojai
7312,Muzikos instrumentų gamintojai ir derintojai
7313,Juvelyrai ir tauriųjų metalų apdirbėjai
7314,"Keramikai, puodžiai ir giminiškų profesijų darbininkai"
7315,"Stiklo dirbinių meistrai, pjaustytojai ir šlifuotojai"
7316,"Ženklų piešėjai, dekoruotojai, graviruotojai ir ėsdintojai"
7317,"Amatininkai, gaminantys dirbinius iš medienos, vytelių ir panašių medžiagų"
7318,"Amatininkai, gaminantys dirbinius iš tekstilės, odos ir panašių medžiagų"
7319,Kitur nepriskirti amatininkai
732,Spausdinimo darbininkai
7321,Spausdinimo formų surinkėjai ir ruošėjai
7322,Spaustuvininkai
7323,Spaudinių apdailos darbininkai ir knygrišiai
74,Elektromechaninių ir elektroninių įrenginių mechanikai
741,Elektros įrangos įrengėjai ir taisytojai
7411,Pastatų ir kitokie elektrikai
7412,Elektromechanikai ir elektromonteriai
7413,Elektros linijų įrengėjai ir taisytojai
742,Elektroninės ir telekomunikacijų įrangos įrengėjai ir taisytojai
7421,Elektroninės įrangos mechanikai ir taisytojai
7422,Informacinių technologijų ir ryšių sistemų įrengėjai ir taisytojai
75,"Maisto gamintojai, medienos meistrai, siuvėjai ir kiti giminiškų profesijų darbininkai ir amatininkai"
751,Maisto gamintojai ir giminiškų profesijų darbininkai
7511,"Mėsininkai, žuvų darinėtojai ir giminiškų profesijų darbininkai"
7512,Kepėjai ir konditeriai
7513,Pieno produktų gamintojai
7514,"Vaisių, daržovių ir panašių produktų konservuotojai"
7515,Maisto produktų ir gėrimų degustatoriai ir rūšiuotojai
7516,Tabako ruošėjai ir tabako gaminių gamintojai
752,"Medienos meistrai, baldžiai ir giminiškų profesijų darbininkai"
7521,Medienos meistrai
7522,Baldžiai ir giminiškų profesijų darbininkai
7523,Medienos apdirbimo staklių derintojai ir operatoriai
753,Siuvėjai ir giminiškų profesijų darbininkai
7531,"Siuvėjai, kailininkai ir kepurininkai"
7532,Drabužių ir kitų gaminių sukirpėjai
7533,Siuvinėtojai ir giminiškų profesijų darbininkai
7534,Baldų apmušėjai ir giminiškų profesijų darbininkai
7535,Kailiadirbiai ir odininkai
7536,Batsiuviai ir giminiškų profesijų darbininkai
754,Kiti kvalifikuoti darbininkai ir amatininkai
7541,Narai
7542,Sprogdintojai
7543,Produktų rūšiuotojai ir bandytojai (išskyrus maisto produktų ir gėrimų degustatorius ir rūšiuotojus)
7544,Fumigaciją atliekantys darbuotojai ir kiti kenkėjų ir piktžolių naikintojai
7549,Kitur nepriskirti kvalifikuoti darbininkai ir amatininkai
8,Įrenginių ir mašinų operatoriai ir surinkėjai
81,Stacionariųjų įrenginių ir mašinų operatoriai
811,Kasybos ir rūdų apdorojimo įrenginių operatoriai
8111,Kalnakasiai ir kasybos įrenginių operatoriai
8112,Mineralų ir uolienų apdorojimo įrenginių operatoriai
8113,Gręžinių gręžėjai ir giminiškų profesijų darbininkai
8114,"Cemento gamybos, akmens ir kitos mineralinės žaliavos apdirbimo mašinų operatoriai"
812,Metalų apdirbimo ir poliravimo įrenginių operatoriai
8121,Metalų perdirbimo ir apdorojimo įrenginių operatoriai
8122,"Metalų poliravimo, elektrolitinio ir kitokio metalų paviršiaus dengimo įrenginių operatoriai"
813,Chemijos ir fotografijos gaminių gamybos įrenginių ir mašinų operatoriai
8131,Cheminių gaminių gamybos įrenginių ir mašinų operatoriai
8132,Fotografijos gaminių gamybos mašinų operatoriai
814,"Guminių, plastikinių ir popierinių gaminių gamybos mašinų operatoriai"
8141,Guminių gaminių gamybos mašinų operatoriai
8142,Plastikinių gaminių gamybos mašinų operatoriai
8143,Popierinių gaminių gamybos mašinų operatoriai
815,"Tekstilės, kailio ir odos gaminių gamybos mašinų operatoriai"
8151,"Pluošto ruošimo, verpimo ir vijimo mašinų operatoriai"
8152,Audimo ir mezgimo mašinų operatoriai
8153,Siuvimo ir siuvinėjimo mašinų operatoriai
8154,"Balinimo, dažymo ir valymo mašinų operatoriai"
8155,Kailių ir odos išdirbimo mašinų operatoriai
8156,Avalynės ir panašių gaminių gamybos mašinų operatoriai
8157,Skalbimo mašinų operatoriai
8159,"Kitur nepriskirti tekstilės, kailio ir odos gaminių gamybos mašinų operatoriai"
816,Maisto ir panašių produktų gamybos mašinų operatoriai
8160,Maisto ir panašių produktų gamybos mašinų operatoriai
817,Medienos apdirbimo ir popieriaus gamybos įrenginių operatoriai
8171,Popieriaus plaušienos paruošimo ir popieriaus gamybos įrenginių operatoriai
8172,Medienos apdirbimo įrenginių operatoriai
818,Kiti stacionariųjų įrenginių ir mašinų operatoriai
8181,Stiklo ir keramikos gamybos įrenginių operatoriai
8182,Garo variklių ir katilų operatoriai
8183,"Pakavimo, pilstymo į butelius ir ženklinimo (etiketėmis) operatoriai"
8189,Kitur nepriskirti stacionariųjų įrenginių ir mašinų operatoriai
82,Surinkėjai
821,Surinkėjai
8211,Mechaninių mašinų surinkėjai
8212,Elektrinės ir elektroninės įrangos surinkėjai
8219,Kitur nepriskirti surinkėjai
83,Vairuotojai ir judamųjų įrenginių operatoriai
831,Lokomotyvų mašinistai ir giminiškų profesijų darbininkai
8311,Lokomotyvų mašinistai
8312,"Geležinkelio ratstabdininkai, signalizuotojai ir iešmininkai"
832,"Lengvųjų automobilių, furgonų ir motociklų vairuotojai"
8321,Motociklų vairuotojai
8322,"Lengvųjų automobilių, taksi ir furgonų vairuotojai"
833,Sunkiasvorių sunkvežimių ir autobusų vairuotojai
8331,Autobusų ir troleibusų vairuotojai
8332,Sunkiasvorių sunkvežimių ir krovinių transporto priemonių vairuotojai
834,Judamųjų įrenginių operatoriai
8341,Judamųjų žemės ir miškų ūkio įrenginių operatoriai
8342,Žemės darbų ir panašių mašinų operatoriai
8343,"Kranų, kėlimo įrenginių ir panašių mašinų operatoriai"
8344,Krovininių platformų ir krautuvų operatoriai
835,Laivų įgulų nariai ir giminiškų profesijų darbininkai
8350,Laivų įgulų nariai ir giminiškų profesijų darbininkai
9,Nekvalifikuoti darbininkai
91,Valytojai ir pagalbininkai
911,"Namų, viešbučių ir biurų valytojai, kambarinės ir pagalbininkai"
9111,Namų valytojai ir pagalbininkai
9112,"Biurų, viešbučių ir kitų įstaigų valytojai, kambarinės ir pagalbininkai"
912,"Transporto priemonių ir langų plovėjai, skalbėjai ir kiti valytojai (rankomis)"
9121,Skalbėjai ir lygintojai (rankomis)
9122,Transporto priemonių plovėjai
9123,Langų plovėjai
9129,Kiti valytojai
92,"Nekvalifikuoti žemės, miškų ir žuvininkystės ūkio darbininkai"
921,"Nekvalifikuoti žemės, miškų ir žuvininkystės ūkio darbininkai"
9211,Nekvalifikuoti augalininkystės ūkio darbininkai
9212,Nekvalifikuoti gyvulininkystės ūkio darbininkai
9213,Nekvalifikuoti mišriojo augalininkystės ir gyvulininkystės ūkio darbininkai
9214,Nekvalifikuoti sodininkystės ir daržininkystės ūkio darbininkai
9215,Nekvalifikuoti miškų ūkio darbininkai
9216,Nekvalifikuoti žuvininkystės ir akvakultūros ūkio darbininkai
93,"Nekvalifikuoti gavybos, statybos, pramonės ir transporto darbininkai"
931,Nekvalifikuoti gavybos ir statybos darbininkai
9311,Nekvalifikuoti gavybos ir karjerų eksploatavimo darbininkai
9312,Nekvalifikuoti inžinerinių statinių statybos darbininkai
9313,Nekvalifikuoti pastatų statybos darbininkai
932,Nekvalifikuoti apdirbimo pramonės darbininkai
9321,Pakuotojai (rankomis)
9329,Kitur nepriskirti nekvalifikuoti apdirbimo pramonės darbininkai
933,Nekvalifikuoti transporto ir sandėliavimo darbininkai
9331,Rankinių ir pedalinių transporto priemonių vairuotojai
9332,Traukiančių transporto priemones ir mašinas gyvulių vadeliotojai
9333,Krovikai
9334,Prekių krovėjai į lentynas
94,Maisto ruošimo padėjėjai
941,Maisto ruošimo padėjėjai
9411,Greitojo maisto ruošėjai
9412,Virtuvės pagalbininkai
95,"Gatvės pardavėjai, gatvėje teikiamų paslaugų teikėjai"
951,Gatvėje teikiamų paslaugų teikėjai
9510,Gatvėje teikiamų paslaugų teikėjai
952,Ne maisto produktų gatvės pardavėjai
9520,Ne maisto produktų gatvės pardavėjai
96,Buitinių atliekų surinkėjai ir kiti nekvalifikuoti darbininkai
961,Buitinių atliekų surinkėjai
9611,Buitinių atliekų surinkėjai
9612,Buitinių atliekų rūšiuotojai
9613,Kiemsargiai ir giminiškų profesijų darbininkai
962,Kiti nekvalifikuoti darbininkai
9621,"Kurjeriai, pasiuntiniai ir bagažo nešikai"
9622,Nekvalifikuoti atsitiktinių darbų darbininkai
9623,Pinigų iš automatų surinkėjai ir matuoklių rodmenų tikrintojai
9624,Vandens vežikai ir malkų rinkėjai
9629,Kitur nepriskirti nekvalifikuoti darbininkai
0,Ginkluotųjų pajėgų profesijos
1,"Ginkluotųjų pajėgų karininkai, generolai ir admirolai"
11,"Ginkluotųjų pajėgų karininkai, generolai ir admirolai"
110,"Ginkluotųjų pajėgų karininkai, generolai ir admirolai"
2,"Ginkluotųjų pajėgų puskarininkiai, seržantai ir viršilos"
21,"Ginkluotųjų pajėgų puskarininkiai, seržantai ir viršilos"
210,"Ginkluotųjų pajėgų puskarininkiai, seržantai ir viršilos"
3,"Ginkluotųjų pajėgų profesijos, kiti laipsniai"
31,"Ginkluotųjų pajėgų profesijos, kiti laipsniai"
310,"Ginkluotųjų pajėgų profesijos, kiti laipsniai"
